review_id,review_text,overall_score,travel_type,customer_class,sentiment_score,sentiment_label
78,The food was cold.,4,Business,Economy,-0.6,Negative
79,The seat wouldn't recline.,4,Business,Eco Plus,0.0,Neutral
80,No legroom at all.,2,Personal,Eco Plus,0.0,Neutral
81,Wi-fi was fast and reliable.,7,Personal,Eco Plus,0.2,Positive
82,Clean plane and friendly staff.,8,Personal,Business,0.37083333333333335,Positive
83,No legroom at all.,3,Personal,Economy,0.0,Neutral
84,Smooth boarding process.,10,Personal,Economy,0.4,Positive
85,Clean plane and friendly staff.,7,Personal,Business,0.37083333333333335,Positive
86,Loved the meal options.,10,Business,Business,0.7,Positive
87,Clean plane and friendly staff.,9,Business,Eco Plus,0.37083333333333335,Positive
88,Great legroom in economy.,9,Personal,Economy,0.8,Positive
89,The seat wouldn't recline.,1,Personal,Economy,0.0,Neutral
90,No legroom at all.,1,Business,Business,0.0,Neutral
91,The seat wouldn't recline.,1,Personal,Economy,0.0,Neutral
92,Lost my bags again.,5,Personal,Economy,0.0,Neutral
93,Loved the meal options.,8,Personal,Eco Plus,0.7,Positive
94,The cabin crew was amazing!,7,Personal,Economy,0.7500000000000001,Positive
95,The seat wouldn't recline.,4,Business,Business,0.0,Neutral
96,Smooth boarding process.,9,Personal,Economy,0.4,Positive
97,Smooth boarding process.,9,Personal,Business,0.4,Positive
98,Loved the meal options.,8,Personal,Eco Plus,0.7,Positive
99,Wi-fi didn't work the whole flight.,2,Personal,Economy,0.2,Positive
100,Smooth boarding process.,10,Personal,Eco Plus,0.4,Positive
101,Loved the meal options.,10,Personal,Eco Plus,0.7,Positive
102,Loved the meal options.,8,Business,Economy,0.7,Positive
103,Wi-fi was fast and reliable.,9,Business,Eco Plus,0.2,Positive
104,Great legroom in economy.,9,Personal,Economy,0.8,Positive
105,The seat wouldn't recline.,2,Business,Eco Plus,0.0,Neutral
106,The cabin crew was amazing!,8,Personal,Economy,0.7500000000000001,Positive
107,Great legroom in economy.,8,Personal,Eco Plus,0.8,Positive
108,Rude staff at the gate.,2,Business,Business,-0.3,Negative
109,Smooth boarding process.,10,Personal,Economy,0.4,Positive
110,The cabin crew was amazing!,10,Personal,Economy,0.7500000000000001,Positive
111,Wi-fi was fast and reliable.,7,Business,Business,0.2,Positive
112,The seat wouldn't recline.,5,Personal,Economy,0.0,Neutral
113,The cabin crew was amazing!,9,Business,Business,0.7500000000000001,Positive
114,Clean plane and friendly staff.,10,Personal,Economy,0.37083333333333335,Positive
115,Wi-fi didn't work the whole flight.,3,Business,Economy,0.2,Positive
116,Loved the meal options.,7,Business,Business,0.7,Positive
117,Loved the meal options.,9,Personal,Eco Plus,0.7,Positive
118,Lost my bags again.,3,Personal,Economy,0.0,Neutral
119,Smooth boarding process.,10,Business,Eco Plus,0.4,Positive
120,Smooth boarding process.,7,Personal,Business,0.4,Positive
121,No legroom at all.,5,Business,Eco Plus,0.0,Neutral
122,Wi-fi was fast and reliable.,8,Business,Economy,0.2,Positive
123,Loved the meal options.,7,Business,Business,0.7,Positive
124,Lost my bags again.,2,Business,Business,0.0,Neutral
125,Great legroom in economy.,7,Business,Economy,0.8,Positive
126,Lost my bags again.,1,Personal,Economy,0.0,Neutral
127,The cabin crew was amazing!,7,Personal,Business,0.7500000000000001,Positive
128,Wi-fi was fast and reliable.,7,Personal,Business,0.2,Positive
129,Great legroom in economy.,8,Business,Eco Plus,0.8,Positive
130,Smooth boarding process.,7,Personal,Business,0.4,Positive
131,Rude staff at the gate.,5,Business,Economy,-0.3,Negative
132,Wi-fi was fast and reliable.,7,Personal,Business,0.2,Positive
133,Loved the meal options.,7,Business,Economy,0.7,Positive
134,The seat wouldn't recline.,2,Personal,Economy,0.0,Neutral
135,Smooth boarding process.,9,Business,Business,0.4,Positive
136,Loved the meal options.,7,Personal,Eco Plus,0.7,Positive
137,The cabin crew was amazing!,8,Business,Economy,0.7500000000000001,Positive
138,The food was cold.,5,Personal,Business,-0.6,Negative
139,The food was cold.,3,Personal,Business,-0.6,Negative
140,Clean plane and friendly staff.,10,Personal,Economy,0.37083333333333335,Positive
141,Rude staff at the gate.,4,Personal,Business,-0.3,Negative
142,Rude staff at the gate.,4,Business,Economy,-0.3,Negative
143,Wi-fi didn't work the whole flight.,1,Business,Economy,0.2,Positive
144,Smooth boarding process.,10,Personal,Economy,0.4,Positive
145,Wi-fi didn't work the whole flight.,5,Personal,Business,0.2,Positive
146,Smooth boarding process.,9,Business,Business,0.4,Positive
147,The seat wouldn't recline.,2,Business,Economy,0.0,Neutral
148,The food was cold.,1,Personal,Eco Plus,-0.6,Negative
149,Lost my bags again.,2,Business,Economy,0.0,Neutral
150,Wi-fi was fast and reliable.,7,Business,Economy,0.2,Positive
151,Wi-fi was fast and reliable.,9,Business,Economy,0.2,Positive
152,The seat wouldn't recline.,4,Business,Economy,0.0,Neutral
153,Clean plane and friendly staff.,9,Business,Eco Plus,0.37083333333333335,Positive
154,Smooth boarding process.,8,Personal,Eco Plus,0.4,Positive
155,The seat wouldn't recline.,1,Personal,Economy,0.0,Neutral
156,Smooth boarding process.,10,Personal,Economy,0.4,Positive
157,Great legroom in economy.,10,Business,Eco Plus,0.8,Positive
158,Great legroom in economy.,8,Personal,Eco Plus,0.8,Positive
159,Loved the meal options.,7,Personal,Economy,0.7,Positive
160,Wi-fi didn't work the whole flight.,1,Business,Eco Plus,0.2,Positive
161,Lost my bags again.,5,Personal,Business,0.0,Neutral
162,Clean plane and friendly staff.,10,Personal,Business,0.37083333333333335,Positive
163,No legroom at all.,2,Personal,Eco Plus,0.0,Neutral
164,Great legroom in economy.,10,Business,Business,0.8,Positive
165,Loved the meal options.,8,Business,Business,0.7,Positive
166,Smooth boarding process.,7,Personal,Business,0.4,Positive
167,Great legroom in economy.,7,Personal,Economy,0.8,Positive
168,Smooth boarding process.,8,Business,Business,0.4,Positive
169,Wi-fi was fast and reliable.,9,Business,Economy,0.2,Positive
170,Wi-fi was fast and reliable.,8,Personal,Economy,0.2,Positive
171,Wi-fi was fast and reliable.,9,Business,Business,0.2,Positive
172,Wi-fi was fast and reliable.,9,Business,Economy,0.2,Positive
173,No legroom at all.,5,Personal,Economy,0.0,Neutral
174,Smooth boarding process.,7,Personal,Business,0.4,Positive
175,The cabin crew was amazing!,8,Personal,Economy,0.7500000000000001,Positive
176,No legroom at all.,1,Business,Economy,0.0,Neutral
177,Clean plane and friendly staff.,9,Business,Economy,0.37083333333333335,Positive
178,Rude staff at the gate.,1,Personal,Economy,-0.3,Negative
179,Loved the meal options.,9,Business,Eco Plus,0.7,Positive
180,Clean plane and friendly staff.,8,Personal,Eco Plus,0.37083333333333335,Positive
181,Great legroom in economy.,7,Personal,Business,0.8,Positive
182,Wi-fi didn't work the whole flight.,3,Business,Eco Plus,0.2,Positive
183,Loved the meal options.,7,Personal,Business,0.7,Positive
184,Wi-fi didn't work the whole flight.,1,Business,Economy,0.2,Positive
185,The food was cold.,1,Business,Business,-0.6,Negative
186,Rude staff at the gate.,1,Business,Economy,-0.3,Negative
187,Loved the meal options.,8,Business,Economy,0.7,Positive
188,Loved the meal options.,9,Personal,Business,0.7,Positive
189,The cabin crew was amazing!,10,Business,Business,0.7500000000000001,Positive
190,The seat wouldn't recline.,4,Personal,Business,0.0,Neutral
191,Wi-fi didn't work the whole flight.,5,Personal,Economy,0.2,Positive
192,Smooth boarding process.,8,Business,Business,0.4,Positive
193,Rude staff at the gate.,3,Personal,Business,-0.3,Negative
194,The cabin crew was amazing!,9,Business,Eco Plus,0.7500000000000001,Positive
195,Lost my bags again.,4,Personal,Eco Plus,0.0,Neutral
196,Loved the meal options.,10,Business,Eco Plus,0.7,Positive
197,The cabin crew was amazing!,8,Personal,Business,0.7500000000000001,Positive
198,The cabin crew was amazing!,8,Business,Eco Plus,0.7500000000000001,Positive
199,Wi-fi was fast and reliable.,7,Personal,Economy,0.2,Positive
200,The seat wouldn't recline.,4,Business,Economy,0.0,Neutral
201,Loved the meal options.,9,Business,Business,0.7,Positive
202,Clean plane and friendly staff.,7,Personal,Eco Plus,0.37083333333333335,Positive
203,Smooth boarding process.,9,Business,Economy,0.4,Positive
204,No legroom at all.,5,Business,Business,0.0,Neutral
205,Smooth boarding process.,10,Personal,Economy,0.4,Positive
206,The food was cold.,1,Business,Eco Plus,-0.6,Negative
207,Clean plane and friendly staff.,9,Business,Business,0.37083333333333335,Positive
208,Lost my bags again.,4,Personal,Business,0.0,Neutral
209,Wi-fi didn't work the whole flight.,1,Personal,Eco Plus,0.2,Positive
210,The seat wouldn't recline.,4,Personal,Economy,0.0,Neutral
211,The food was cold.,5,Personal,Business,-0.6,Negative
212,Smooth boarding process.,7,Business,Eco Plus,0.4,Positive
213,Clean plane and friendly staff.,10,Business,Economy,0.37083333333333335,Positive
214,Great legroom in economy.,10,Personal,Eco Plus,0.8,Positive
215,Wi-fi was fast and reliable.,7,Personal,Economy,0.2,Positive
216,The cabin crew was amazing!,7,Business,Economy,0.7500000000000001,Positive
217,No legroom at all.,5,Personal,Eco Plus,0.0,Neutral
218,Clean plane and friendly staff.,8,Business,Eco Plus,0.37083333333333335,Positive
219,Great legroom in economy.,10,Personal,Eco Plus,0.8,Positive
220,The cabin crew was amazing!,10,Personal,Eco Plus,0.7500000000000001,Positive
221,Smooth boarding process.,8,Business,Economy,0.4,Positive
222,Wi-fi was fast and reliable.,9,Business,Business,0.2,Positive
223,No legroom at all.,2,Business,Eco Plus,0.0,Neutral
224,Clean plane and friendly staff.,8,Business,Eco Plus,0.37083333333333335,Positive
225,Lost my bags again.,4,Personal,Eco Plus,0.0,Neutral
226,Smooth boarding process.,7,Business,Economy,0.4,Positive
227,Wi-fi was fast and reliable.,9,Personal,Business,0.2,Positive
228,Lost my bags again.,4,Business,Business,0.0,Neutral
229,Clean plane and friendly staff.,8,Personal,Eco Plus,0.37083333333333335,Positive
230,Clean plane and friendly staff.,9,Personal,Business,0.37083333333333335,Positive
231,Clean plane and friendly staff.,8,Business,Economy,0.37083333333333335,Positive
232,Rude staff at the gate.,3,Personal,Economy,-0.3,Negative
233,Great legroom in economy.,7,Personal,Eco Plus,0.8,Positive
234,Clean plane and friendly staff.,9,Business,Business,0.37083333333333335,Positive
235,Clean plane and friendly staff.,9,Business,Economy,0.37083333333333335,Positive
236,Lost my bags again.,2,Personal,Business,0.0,Neutral
237,The cabin crew was amazing!,9,Personal,Eco Plus,0.7500000000000001,Positive
238,Lost my bags again.,1,Business,Economy,0.0,Neutral
239,The food was cold.,5,Personal,Economy,-0.6,Negative
240,Rude staff at the gate.,1,Personal,Eco Plus,-0.3,Negative
241,Great legroom in economy.,9,Personal,Eco Plus,0.8,Positive
242,Wi-fi was fast and reliable.,9,Personal,Eco Plus,0.2,Positive
243,The food was cold.,4,Personal,Economy,-0.6,Negative
244,The cabin crew was amazing!,7,Business,Eco Plus,0.7500000000000001,Positive
245,Loved the meal options.,8,Business,Economy,0.7,Positive
246,Rude staff at the gate.,1,Business,Business,-0.3,Negative
247,Smooth boarding process.,10,Business,Eco Plus,0.4,Positive
248,Smooth boarding process.,8,Business,Eco Plus,0.4,Positive
249,Wi-fi didn't work the whole flight.,5,Business,Economy,0.2,Positive
250,Wi-fi didn't work the whole flight.,2,Business,Business,0.2,Positive
251,Great legroom in economy.,8,Personal,Economy,0.8,Positive
252,Clean plane and friendly staff.,9,Business,Economy,0.37083333333333335,Positive
253,Wi-fi didn't work the whole flight.,2,Personal,Eco Plus,0.2,Positive
254,Loved the meal options.,7,Business,Eco Plus,0.7,Positive
255,No legroom at all.,5,Personal,Economy,0.0,Neutral
256,Wi-fi was fast and reliable.,10,Business,Eco Plus,0.2,Positive
257,Clean plane and friendly staff.,7,Business,Economy,0.37083333333333335,Positive
258,The food was cold.,4,Business,Business,-0.6,Negative
259,Clean plane and friendly staff.,10,Personal,Business,0.37083333333333335,Positive
260,Loved the meal options.,10,Business,Business,0.7,Positive
261,No legroom at all.,2,Business,Economy,0.0,Neutral
262,Wi-fi didn't work the whole flight.,5,Business,Economy,0.2,Positive
263,Great legroom in economy.,7,Business,Economy,0.8,Positive
264,No legroom at all.,2,Business,Eco Plus,0.0,Neutral
265,Rude staff at the gate.,5,Business,Business,-0.3,Negative
266,The cabin crew was amazing!,8,Business,Eco Plus,0.7500000000000001,Positive
267,Clean plane and friendly staff.,10,Personal,Economy,0.37083333333333335,Positive
268,Wi-fi was fast and reliable.,8,Business,Economy,0.2,Positive
269,The cabin crew was amazing!,8,Business,Business,0.7500000000000001,Positive
270,The cabin crew was amazing!,8,Personal,Eco Plus,0.7500000000000001,Positive
271,Great legroom in economy.,8,Business,Economy,0.8,Positive
272,Smooth boarding process.,9,Personal,Business,0.4,Positive
273,Great legroom in economy.,10,Business,Business,0.8,Positive
274,Lost my bags again.,1,Personal,Business,0.0,Neutral
275,Smooth boarding process.,8,Personal,Economy,0.4,Positive
276,The seat wouldn't recline.,3,Personal,Business,0.0,Neutral
277,The cabin crew was amazing!,7,Business,Business,0.7500000000000001,Positive
278,Great legroom in economy.,7,Personal,Business,0.8,Positive
279,Great legroom in economy.,10,Personal,Eco Plus,0.8,Positive
280,Lost my bags again.,4,Business,Business,0.0,Neutral
281,Wi-fi didn't work the whole flight.,3,Personal,Economy,0.2,Positive
282,Wi-fi was fast and reliable.,8,Personal,Eco Plus,0.2,Positive
283,Clean plane and friendly staff.,8,Business,Economy,0.37083333333333335,Positive
284,Rude staff at the gate.,3,Business,Eco Plus,-0.3,Negative
285,Wi-fi was fast and reliable.,7,Business,Business,0.2,Positive
286,Great legroom in economy.,7,Business,Economy,0.8,Positive
287,The food was cold.,1,Business,Eco Plus,-0.6,Negative
288,The cabin crew was amazing!,9,Business,Eco Plus,0.7500000000000001,Positive
289,Rude staff at the gate.,4,Business,Business,-0.3,Negative
290,Rude staff at the gate.,3,Business,Eco Plus,-0.3,Negative
291,Smooth boarding process.,7,Personal,Economy,0.4,Positive
292,Loved the meal options.,8,Personal,Eco Plus,0.7,Positive
293,Smooth boarding process.,7,Business,Economy,0.4,Positive
294,Clean plane and friendly staff.,10,Business,Business,0.37083333333333335,Positive
295,Wi-fi was fast and reliable.,8,Business,Economy,0.2,Positive
296,Great legroom in economy.,10,Business,Economy,0.8,Positive
297,Lost my bags again.,2,Business,Business,0.0,Neutral
298,The food was cold.,3,Personal,Business,-0.6,Negative
299,Smooth boarding process.,8,Business,Business,0.4,Positive
300,Wi-fi didn't work the whole flight.,2,Business,Business,0.2,Positive
301,Clean plane and friendly staff.,9,Personal,Eco Plus,0.37083333333333335,Positive
302,Smooth boarding process.,8,Business,Economy,0.4,Positive
303,Great legroom in economy.,9,Business,Eco Plus,0.8,Positive
304,The food was cold.,4,Business,Business,-0.6,Negative
305,No legroom at all.,1,Personal,Economy,0.0,Neutral
306,Clean plane and friendly staff.,8,Business,Eco Plus,0.37083333333333335,Positive
307,Clean plane and friendly staff.,9,Business,Economy,0.37083333333333335,Positive
308,Wi-fi was fast and reliable.,9,Business,Business,0.2,Positive
309,The seat wouldn't recline.,1,Business,Business,0.0,Neutral
310,The cabin crew was amazing!,10,Personal,Eco Plus,0.7500000000000001,Positive
311,The seat wouldn't recline.,1,Business,Eco Plus,0.0,Neutral
312,The cabin crew was amazing!,8,Business,Eco Plus,0.7500000000000001,Positive
313,Clean plane and friendly staff.,8,Personal,Business,0.37083333333333335,Positive
314,The food was cold.,1,Business,Business,-0.6,Negative
315,The food was cold.,1,Personal,Eco Plus,-0.6,Negative
316,Smooth boarding process.,7,Business,Business,0.4,Positive
317,Clean plane and friendly staff.,10,Business,Business,0.37083333333333335,Positive
318,The cabin crew was amazing!,9,Personal,Eco Plus,0.7500000000000001,Positive
319,Smooth boarding process.,9,Personal,Economy,0.4,Positive
320,Clean plane and friendly staff.,8,Business,Business,0.37083333333333335,Positive
321,The food was cold.,1,Personal,Eco Plus,-0.6,Negative
322,Smooth boarding process.,7,Personal,Eco Plus,0.4,Positive
323,The food was cold.,3,Personal,Business,-0.6,Negative
324,Wi-fi was fast and reliable.,8,Business,Business,0.2,Positive
325,The cabin crew was amazing!,10,Business,Eco Plus,0.7500000000000001,Positive
326,Lost my bags again.,1,Business,Business,0.0,Neutral
327,Wi-fi was fast and reliable.,7,Personal,Eco Plus,0.2,Positive
328,Lost my bags again.,1,Business,Economy,0.0,Neutral
329,Great legroom in economy.,7,Business,Economy,0.8,Positive
330,Wi-fi was fast and reliable.,8,Personal,Eco Plus,0.2,Positive
331,Wi-fi didn't work the whole flight.,5,Personal,Business,0.2,Positive
332,Smooth boarding process.,10,Personal,Economy,0.4,Positive
333,Smooth boarding process.,7,Personal,Economy,0.4,Positive
334,Smooth boarding process.,9,Personal,Eco Plus,0.4,Positive
335,No legroom at all.,3,Business,Economy,0.0,Neutral
336,Wi-fi was fast and reliable.,10,Personal,Economy,0.2,Positive
337,The food was cold.,5,Business,Economy,-0.6,Negative
338,Great legroom in economy.,10,Business,Eco Plus,0.8,Positive
339,Smooth boarding process.,9,Business,Business,0.4,Positive
340,Great legroom in economy.,8,Personal,Eco Plus,0.8,Positive
341,No legroom at all.,4,Personal,Business,0.0,Neutral
342,Loved the meal options.,9,Personal,Economy,0.7,Positive
343,The cabin crew was amazing!,7,Business,Eco Plus,0.7500000000000001,Positive
344,Lost my bags again.,3,Personal,Business,0.0,Neutral
345,No legroom at all.,1,Personal,Business,0.0,Neutral
346,Rude staff at the gate.,5,Business,Business,-0.3,Negative
347,Loved the meal options.,8,Personal,Eco Plus,0.7,Positive
348,Rude staff at the gate.,1,Personal,Business,-0.3,Negative
349,No legroom at all.,3,Personal,Business,0.0,Neutral
350,Smooth boarding process.,10,Personal,Eco Plus,0.4,Positive
351,Lost my bags again.,4,Business,Economy,0.0,Neutral
352,The seat wouldn't recline.,3,Business,Business,0.0,Neutral
353,No legroom at all.,2,Business,Economy,0.0,Neutral
354,The food was cold.,5,Business,Eco Plus,-0.6,Negative
355,No legroom at all.,4,Personal,Eco Plus,0.0,Neutral
356,The food was cold.,4,Personal,Economy,-0.6,Negative
357,Smooth boarding process.,9,Personal,Business,0.4,Positive
358,Smooth boarding process.,9,Business,Economy,0.4,Positive
359,The seat wouldn't recline.,2,Business,Eco Plus,0.0,Neutral
360,The food was cold.,4,Personal,Eco Plus,-0.6,Negative
361,Wi-fi was fast and reliable.,10,Personal,Business,0.2,Positive
362,Lost my bags again.,5,Personal,Eco Plus,0.0,Neutral
363,Great legroom in economy.,10,Business,Eco Plus,0.8,Positive
364,Loved the meal options.,7,Personal,Business,0.7,Positive
365,Clean plane and friendly staff.,9,Business,Business,0.37083333333333335,Positive
366,The food was cold.,4,Personal,Economy,-0.6,Negative
367,The food was cold.,4,Business,Business,-0.6,Negative
368,Smooth boarding process.,8,Personal,Eco Plus,0.4,Positive
369,The cabin crew was amazing!,10,Business,Business,0.7500000000000001,Positive
370,Great legroom in economy.,8,Business,Eco Plus,0.8,Positive
371,Wi-fi was fast and reliable.,7,Business,Economy,0.2,Positive
372,The cabin crew was amazing!,10,Business,Business,0.7500000000000001,Positive
373,The cabin crew was amazing!,7,Personal,Economy,0.7500000000000001,Positive
374,Clean plane and friendly staff.,8,Personal,Economy,0.37083333333333335,Positive
375,Great legroom in economy.,10,Business,Business,0.8,Positive
376,The cabin crew was amazing!,7,Personal,Economy,0.7500000000000001,Positive
377,Great legroom in economy.,8,Business,Business,0.8,Positive
378,Great legroom in economy.,8,Personal,Business,0.8,Positive
379,Great legroom in economy.,9,Personal,Economy,0.8,Positive
380,Smooth boarding process.,9,Business,Business,0.4,Positive
381,The cabin crew was amazing!,9,Business,Economy,0.7500000000000001,Positive
382,Great legroom in economy.,10,Personal,Business,0.8,Positive
383,Wi-fi was fast and reliable.,10,Personal,Business,0.2,Positive
384,Great legroom in economy.,9,Business,Eco Plus,0.8,Positive
385,Great legroom in economy.,8,Business,Business,0.8,Positive
386,Rude staff at the gate.,5,Business,Economy,-0.3,Negative
387,Wi-fi was fast and reliable.,9,Personal,Economy,0.2,Positive
388,Lost my bags again.,3,Personal,Business,0.0,Neutral
389,Wi-fi didn't work the whole flight.,5,Personal,Economy,0.2,Positive
390,Loved the meal options.,8,Business,Eco Plus,0.7,Positive
391,The seat wouldn't recline.,1,Business,Economy,0.0,Neutral
392,Great legroom in economy.,7,Personal,Economy,0.8,Positive
393,Rude staff at the gate.,4,Personal,Business,-0.3,Negative
394,The cabin crew was amazing!,10,Personal,Economy,0.7500000000000001,Positive
395,Rude staff at the gate.,2,Business,Business,-0.3,Negative
396,Great legroom in economy.,9,Business,Business,0.8,Positive
397,Loved the meal options.,9,Business,Business,0.7,Positive
398,The cabin crew was amazing!,9,Personal,Business,0.7500000000000001,Positive
399,Rude staff at the gate.,2,Business,Economy,-0.3,Negative
400,Smooth boarding process.,7,Personal,Business,0.4,Positive
401,Clean plane and friendly staff.,10,Business,Economy,0.37083333333333335,Positive
402,Clean plane and friendly staff.,7,Business,Economy,0.37083333333333335,Positive
403,Great legroom in economy.,9,Business,Economy,0.8,Positive
404,Rude staff at the gate.,4,Business,Eco Plus,-0.3,Negative
405,Wi-fi was fast and reliable.,8,Business,Business,0.2,Positive
406,No legroom at all.,5,Personal,Business,0.0,Neutral
407,Lost my bags again.,4,Personal,Eco Plus,0.0,Neutral
408,The cabin crew was amazing!,10,Personal,Economy,0.7500000000000001,Positive
409,Smooth boarding process.,10,Business,Economy,0.4,Positive
410,Loved the meal options.,10,Personal,Eco Plus,0.7,Positive
411,Loved the meal options.,9,Business,Business,0.7,Positive
412,The cabin crew was amazing!,9,Business,Business,0.7500000000000001,Positive
413,Wi-fi didn't work the whole flight.,5,Business,Eco Plus,0.2,Positive
414,The food was cold.,3,Personal,Business,-0.6,Negative
415,No legroom at all.,3,Business,Business,0.0,Neutral
416,Great legroom in economy.,7,Business,Eco Plus,0.8,Positive
417,Wi-fi was fast and reliable.,8,Business,Business,0.2,Positive
418,The seat wouldn't recline.,5,Personal,Business,0.0,Neutral
419,No legroom at all.,5,Business,Eco Plus,0.0,Neutral
420,Clean plane and friendly staff.,7,Business,Business,0.37083333333333335,Positive
421,The food was cold.,2,Business,Business,-0.6,Negative
422,No legroom at all.,1,Personal,Eco Plus,0.0,Neutral
423,Loved the meal options.,9,Personal,Economy,0.7,Positive
424,The cabin crew was amazing!,7,Business,Eco Plus,0.7500000000000001,Positive
425,Smooth boarding process.,10,Business,Economy,0.4,Positive
426,Rude staff at the gate.,2,Personal,Business,-0.3,Negative
427,The food was cold.,1,Business,Economy,-0.6,Negative
428,Smooth boarding process.,9,Business,Eco Plus,0.4,Positive
